Brasil	Bra	a
Croácia	Cro	a
México	Mex	a
Camarões	Cam	a
Espanha	Esp	b
Holanda	Hol	b
Chile	Chi	b
Austrália	Aus	b
Colômbia	Col	c
Grécia	Gre	c
Costa do Marfim	Cos	c
Japão	Jap	c
Uruguai	Uru	d
Costa Rica	Crc	d
Inglaterra	Ing	d
Itália	Ita	d
Suíça	Sui	e
Equador	Equ	e
França	Fra	e
Honduras	Hon	e
Argentina	Arg	f
Bósnia	Bos	f
Irã	Ira	f
Nigéria	Nig	f
Alemanha	Ale	g
Portugal	Por	g
Gana	Gan	g
Estados Unidos	Eua	g
Bélgica	Bel	h
Argélia	Agl	h
Rússia	Rus	h
Coréia do Sul	Cor	h
Turquia	Tur	-
Ucrânia	Ucr	-
Noruega	Nor	-
Escócia	Esc	-
Áustria	Áustria	-
Suécia	Sue	-
País de Gales	P.Ga	-
Dinamarca	Din	-
Bulgária	Bul	-
Hungria	hun	-
Tunísia	Tun	-
África do Sul	Afs	-
China	Chi	-
Qatar	Qat	-
Arábia Saudita	Arab	-
Israel	Isr	-
Emirados Árabes	E.Arab	-
Kuwait	Kuw	-
Nova Zelândia	Nze	-
Canadá	Can	-
Paraguai	Par	-