Inglaterra	Europa
Itália	Europa
Alemanha	Europa
Espanha	Europa
França	Europa
Rússia	Europa
Turquia	-
Portugal	Europa
Holanda	Europa
Grécia	Europa
Bélgica	Europa
Suíça	Europa
Ucrânia	-
Noruega	-
Escócia	-
Croácia	Europa
Áustria	-
Suécia	-
País de Gales	-
Dinamarca	-
Bulgária	-
Bósnia	Europa
Hungria	-
Nigéria	África
Argélia	África
Tunísia	-
África do Sul	-
Camarões	África
Costa do Marfim	África
Gana	África
Irã	Ásia
Japão	Ásia
Austrália	Ásia
Coréia do Sul	Ásia
China	-
Qatar	-
Arábia Saudita	-
Israel	-
Emirados Árabes	-
Kuwait	-
Nova Zelândia	-
México	América do Norte, Central e Caribe
Estados Unidos	América do Norte, Central e Caribe
Costa Rica	América do Norte, Central e Caribe
Honduras	América do Norte, Central e Caribe
Canadá	-
Brasil	América do Sul
Chile	América do Sul
Equador	América do Sul
Argentina	América do Sul
Colômbia	América do Sul
Uruguai	América do Sul
Paraguai	-